"Name","Disc. Date","mmax","R.A.","Dec."
"SN2008es","2008/04/26","16.79","11:56:49.13","+54:27:25.7,+54:27:25.70"
"SNF20080522-000","2008/05/22","16.79","13:36:47.592,13:36:47.52,13:36:47.59","+05:08:30.41,+05:08:31.2,+05:08:30.4"
"SN2005mf","2005/12/25","16.8","09:08:42.33,09:08:42.24","+44:48:51.4,+44:48:51.48,+44:48:51.41"
"SN2006aa","2006/02/08","16.8","11:53:19.89","+20:45:18.2,+20:45:18.22"
"SN2005bl","2005/04/14","16.8","12:04:11.301,12:04:12.24,12:04:12.26","+20:24:35.36,+20:24:24.48,+20:24:24.84,+20:24:24.8,+20:24:24.80"
"SN2006em","2006/08/25","16.8","02:25:44.30","+41:56:31.8,+41:56:31.81"
"SN2006qo","2006/11/29","16.8","08:00:08.37","+56:22:07.7,+56:22:07.72"
"SN2004er","2004/09/25","16.8","02:36:59.04","-05:21:19.7,-05:21:19.69"
"SN2005bw","2005/04/28","16.8","13:33:29.73","+33:02:27.8,+33:02:27.82"
"SN2004L","2004/01/21","16.8","10:27:04.11","+16:01:07.3,+16:01:07.28"
"SN2007cb","2007/04/27","16.8","13:58:17.20,13:58:17.199","-23:22:20.7,-23:22:21.68,-23:22:20.71"
"SN2013ai","2013/03/01","16.8","06:16:18.35","-21:22:32.9,-21:22:32.92"
"ASASSN-13cu","2013/09/01","16.8","00:40:09.93,00:40:10.13,00:40:10.128","-10:26:21.9,-10:26:25.7,-10:26:25.8"
"PTF09dnp","2009/08/18","16.8","15:19:25.360,15:19:25.44,15:19:25.34,15:19:24.432","+49:30:04.83,+49:30:05.04,+49:30:05.0,+49:29:56.4"
"SN2013gd","2013/11/09","16.8","03:49:05.64","-03:03:28.3,-03:03:28.30"
"SN2003ar","2003/02/06","16.8","16:02:08.11,16:02:08.118","+70:24:55.5,+70:24:55.51,+70:24:55.59"
"SN2003hz","2003/09/14","16.8","05:48:07.86","+46:15:22.8,+46:15:22.79"
"SN2003jg","2003/10/24","16.8","09:45:38.40,09:45:37.91","-31:11:19.9,-31:11:21.0,-31:11:21.01"
"SN2003kx","2003/12/08","16.8","08:04:12.35","+84:38:27.3,+84:38:27.31"
"SN2003lp","2003/12/31","16.8","11:44:28.57","+69:43:54.6,+69:43:54.59"
"SN2004ac","2004/02/29","16.8","18:47:43.67","-63:08:54.6,-63:08:54.60"
"SN2004cx","2004/06/26","16.8","23:47:52.86","-30:31:32.6,-30:31:32.59,-30:31:32.5"
"SN2004di","2004/07/26","16.8","15:55:41.02","+47:51:49.1,+47:51:49.10"
"SN2004ds","2004/08/11","16.8","02:03:56.51","-23:18:50.6,-23:18:50.62"
"SN2004el","2004/09/14","16.8","14:59:51.79,14:59:51.84","+54:37:06.1,+54:37:05.88,+54:37:06.10"
"SN2004fa","2004/09/05","16.8","20:22:35.00","-29:49:20.7,-29:49:20.71"
"SN2004G","2004/01/19","16.8","14:33:21.40,14:33:21.36","+04:26:49.5,+04:26:49.56,+04:26:49.49"
"SN2005cm","2005/06/20","16.8","21:55:17.72","-65:30:48.3,-65:30:48.31"
"SN2005E","2005/01/13","16.8","02:39:14.34","+01:05:55.0,+01:05:55.00"
"SN2006db","2006/06/16","16.8","11:55:38.69,11:55:38.64","+44:23:01.4,+44:23:01.32,+44:23:01.39"
"SN2006dt","2006/07/20","16.8","14:35:43.11","+08:17:55.8,+08:17:55.79"
"SN2006ek","2006/08/25","16.8","22:05:09.23","+26:36:31.4,+26:36:31.39"
"SN2006O","2006/01/22","16.8","01:01:20.71","+31:30:09.4,+31:30:09.40"
"SN2007be","2007/04/07","16.8","12:38:06.65,12:38:06.72","-00:01:51.4,-00:01:51.24,-00:01:51.38"
"SN2008fa","2008/08/20","16.8","19:03:40.52","-64:53:21.1,-64:53:21.08"
"SN2008fn","2008/08/04","16.8","16:21:48.53","+37:03:41.0,+37:03:41.00"
"SN2008V","2008/02/06","16.8","04:29:31.30","-26:42:39.8,-26:42:39.82"
"SN2009av","2009/03/02","16.8","14:23:55.82,14:23:55.92","+35:11:05.2,+35:11:05.28,+35:11:05.21"
"SN2009kl","2009/10/23","16.8","10:07:56.75","-35:13:59.3,-35:13:59.30"
"SN2009L","2009/01/13","16.8","12:58:48.10","+27:40:25.6,+27:40:25.61"
"SNF20080322-003","2008/03/22","16.8","17:04:21.445,17:04:21.29","+36:15:29.83,+36:15:28.7"
"LSQ12dzt","2012/07/29","16.8","02:57:54.07","-01:30:14.4"
"PTF11drz","2011/05/14","16.8","14:09:03.15","+32:24:56.2"
"PTF12dlz","2012/04/21","16.8","13:43:18.92","+61:48:25.4"
"ROTSE3 J235704.6-341106","2010/07/17","16.8","23:57:04.57","-34:11:05.5"
"SN2010br","2010/04/10","16.8","12:03:10.95,12:03:10.96","+44:31:43.1,+44:31:43.10,+44:31:42.8"
"SN2010cp","2010/05/09","16.8","13:00:25.79,13:00:25.82","-15:17:19.8,-15:17:19.90"
"SN2010ey","2010/06/30","16.8","03:41:31.50","-19:54:00.4,-19:54:00.40"
"SN2010gc","2010/07/12","16.8","13:23:06.30","-13:00:18.1,-13:00:18.11"
"SN2010he","2010/08/20","16.8","02:49:10.81,02:49:10.80","-14:26:59.8,-14:27:00.11"
"SN2010hr","2010/09/08","16.8","06:07:59.00","+39:15:54.4,+39:15:54.40"
"SN2010iz","2010/10/16","16.8","06:49:50.94","+28:22:22.1,+28:22:22.12"
"SN2010kt","2010/12/10","16.8","05:00:39.19","-38:40:46.1,-38:40:46.09"
"SN2010kx","2010/12/19","16.8","23:23:46.37","-29:23:10.0,-29:23:10.00"
"SN2011fw","2011/09/23","16.8","03:20:54.24","+37:52:05.3,+37:52:05.30"
"SN2011ib","2011/11/15","16.8","11:44:39.27","+35:58:03.9,+35:58:03.90"
"SN2011ii","2011/11/15","16.8","07:16:34.08","-38:29:03.8,-38:29:03.80,-38:29:03.7"
"SN2011kb","2011/12/16","16.8","07:21:14.28,07:21:14.27","-62:05:30.8,-62:05:30.80,-62:05:30.7"
"SN2012bk","2012/03/25","16.8","13:54:51.69","-26:30:46.4,-26:30:46.40"
"SN2012cy","2012/06/14","16.8","10:55:21.80,10:55:21.6","+07:41:50.4,+07:41:50.39,+07:41:44.052"
"SN2012de","2012/06/25","16.8","22:15:05.32,15:05:32","+10:18:12.6,+10:18:12.60"
"SN2012dx","2012/07/26","16.8","19:17:17.35","+33:25:48.7,+33:25:48.68"
"SN2012eg","2012/08/18","16.8","03:09:16.97","+38:38:20.7,+38:38:20.69"
"SN2012gf","2012/10/30","16.8","21:45:09.63","+10:06:12.6,+10:06:12.60"
"SN2012hg","2012/11/25","16.8","07:07:25.60","+56:18:19.2,+58:18:19.19"
"SN2012hi","2012/12/02","16.8","08:39:42.02","+60:58:16.0,+60:58:16.00"
"SN2012hl","2012/12/04","16.8","00:50:17.76","+24:31:52.2,+24:31:52.21,+24:31:52.32"
"SN2012hw","2012/12/11","16.8","09:41:38.07,09:41:38.02,09:41:37.92","+48:40:24.9,+48:40:25.50,+48:40:25.5,+48:40:25.32"
"SN2013dq","2013/06/27","16.8","00:51:34.84,00:51:34.848","+29:43:14.9,+29:43:14.92,+29:43:14.88"
"SN2013ev","2013/08/11","16.8","18:53:18.45","+33:03:52.7,+33:03:52.70"
"SN2013gk","2013/10/28","16.8","18:42:13.03","-49:44:37.0,-49:44:37.00"
"SN2013ha","2013/11/06","16.8","06:15:49.85","+66:50:19.4,+66:50:19.39"
"SNhunt133","2012/06/08","16.8","17:12:46.10,17:12:46.08","+23:13:25.0,+23:13:26.4"
"SNhunt206","2013/09/05","16.8","01:58:42.80,01:58:42.81,01:58:42.816","+08:20:37.7,+08:20:37.8,+08:20:37.788"
"SN2010cz","2010/05/15","16.8","22:40:56.89,22:40:56.88","-07:03:06.4,-07:03:06.41,-07:03:06.408"
"SN2006bt","2006/04/26","16.81","15:56:30.48,15:56:30.53","+20:02:45.60,+20:02:45.6"
"SN2005eu","2005/10/04","16.81","02:27:43.30,02:27:43.224,02:27:43.26","+28:10:37.8,+28:10:37.2,+28:10:36.6,+28:10:36.59"
"SNF20080522-011","2008/05/22","16.81","15:19:58.920,15:19:58.8,15:19:58.91","+04:54:16.73,+04:54:16.344,+04:54:16.9"
"SN2008bq","2008/04/02","16.82","06:41:02.51,06:41:2.40","-38:02:19.0,-38:02:18.96,-38:02:19.00"
"SN2013ao","2013/03/04","16.82","11:44:44.74,11:44:44.64","-20:31:41.1,-20:31:41.09,-20:31:40.44,-20:31:41.16"
"SN2009cy","2009/03/18","16.82","09:40:55.44","+01:16:08.3,+01:16:08.29,+01:16:08.256"
"CSS121011:163803+372814","2012/10/11","16.82","16:38:03.00,16:38:03.36","+37:28:14.0,+37:28:13.8"
"SN2011jt","2011/12/31","16.82","14:53:23.01,14:53:23.04","+02:57:43.1,+02:57:43.09,+02:57:43.0,+02:57:43.128"
"SN2010jn","2010/10/12","16.83","09:37:30,09:37:29.83,09:37:30.30,09:37:30.24","+23:09:38.88,+23:09:41.8,+23:09:33.6,+23:09:33.30"
"MLS161005:230722+025428","2005/09/24","16.83","23:07:21.6","+02:54:28.296"
"SN2009aq","2009/02/13","16.83","03:09:19.79,03:09:19.776","+16:05:05.3,+16:05:05.32,+16:05:05.28"
"SN2004gs","2004/12/12","16.84","08:38:23.851,08:38:23.28,08:38:23.18","+17:37:52.85,+17:37:39.72,+17:37:39.8,+17:37:39.79"
"SN2008gr","2008/10/29","16.84","00:45:32.28","-26:34:20.2,-26:34:20.21"
"SN2011gm","2011/09/21","16.84","01:38:54.59,01:38:54.552","-42:35:08.8,-42:35:08.81,-42:35:08.52"
"CSS120424:140216-112108","2012/04/24","16.84","14:02:16.25,14:02:16.32","-11:21:08.5,-11:21:08.64"
"SN2010dh","2010/05/09","16.84","10:56:37.19,10:56:37.2","+20:14:41.9,+20:14:41.89,+20:14:42"
"SN2011ig","2011/11/17","16.85","01:05:54.65,01:05:54.648","-12:20:48.6,-12:20:48.59,-12:20:48.5,-12:20:48.48"
"PS1-13dns","2013/10/17","16.86","06:48:47.64","+15:16:24.8"
"SSS130311:130508-375705","2013/03/11","16.86","13:05:07.64,13:05:07.68","-37:57:04.8,-37:57:04.68"
"SN2003cq","2003/03/30","16.87","11:56:14.17,11:56:14.178","+60:31:19.1,+60:31:19.09,+60:31:19.19"
"SN2010go","2010/07/20","16.87","12:50:00.16,12:50:00.24","-07:54:59.9,-07:54:59.90,-07:54:59.94"
"SN2008ae","2008/02/09","16.88","09:56:03.20,09:56:03.160,09:56:03.12","+10:29:58.8,+10:29:58.52,+10:29:58.92,+10:29:58.81"
"SN2011iw","2011/11/29","16.88","23:34:48.20,23:34:48.24","+24:45:01.6,+24:45:01.58,+24:45:01.44,+24:45:01.1"
"SN2011bx","2011/04/02","16.88","04:42:12.57,04:42:12.56,04:42:12.576","-48:44:12.6,-48:44:12.59,-48:44:12.48"
"SN2005mc","2005/12/23","16.89","08:27:06.36,08:27:6.24","+21:38:45.6,+21:38:45.60"
"SN2007su","2007/12/19","16.89","22:19:08.88,22:19:08.884","+13:10:40.3,+13:10:39.89,+13:10:40.30"
"PS1-13enj","2013/12/23","16.89","07:49:49.64","-02:17:52.4"
"SN2011cq","2011/04/26","16.89","12:16:07.15,12:16:07.2","-03:34:30.7,-03:34:30.68,-03:34:30.864,-03:34:30.72"
"SN2011dc","2011/05/14","16.89","14:58:56.51,14:58:56.50,14:58:56.4","+65:54:08.3,+65:54:08.32,+65:54:08.28"
"SN2011ga","2011/09/18","16.89","22:40:27.42,22:40:27.36","+03:11:58.0,+03:11:57.98,+03:11:57.984"
"SN2006gj","2006/09/18","16.9","03:17:35.80,03:17:35.81","-01:41:30.2,-01:41:30.19"
"SN2004fx","2004/11/07","16.9","05:11:11.67","-09:23:31.6,-09:23:31.60"
"SN2006H","2006/01/15","16.9","03:26:01.49","+40:41:42.5,+40:41:42.50"
"SN2007rz","2007/12/08","16.9","04:31:10.84","+07:37:51.5,+07:37:51.49"
"SN2006bk","2006/04/03","16.9","15:04:32.703,15:04:33.61","+35:57:54.03,+35:57:51.1,+35:57:51.08"
"SN2008ag","2008/02/03","16.9","18:39:52.38","-67:25:59.0,-67:25:59.02"
"SN2008hj","2008/11/20","16.9","00:04:01.91,00:04:01.913,00:04:01.92","-11:10:07.5,-11:10:08.35,-11:10:07.50,-11:10:08.1"
"SN2011bl","2011/04/05","16.9","13:34:14.70,13:34:14.69","+37:12:34.8,+37:12:34.81,+37:12:34.7"
"SN2006al","2006/02/19","16.9","10:39:28.26","+05:11:00.3,+05:11:00.31"
"SN2006cz","2006/06/14","16.9","14:48:36.66,14:48:36.72","-04:44:30.7,-04:44:30.948,-04:44:30.70"
"PS1-13don","2013/10/20","16.9","22:21:35.07","+63:37:36.8"
"SN2013br","2013/04/14","16.9","11:21:30.88,11:21:30.87,11:21:30.96","-03:31:02.8,-03:31:02.78,-03:31:02.7,-03:31:02.748"
"SN2003O","2003/01/18","16.9","03:38:09.13,03:38:09.138","+40:58:38.0,+40:58:37.99,+40:58:38.09"
"SN2003an","2003/02/09","16.9","13:27:53.55","+28:30:29.2,+28:30:29.20"
"SN2003hq","2003/08/30","16.9","16:33:40.90","+50:22:37.7,+50:22:37.70"
"SN2003iy","2003/10/20","16.9","16:21:43.22","+55:05:05.2,+55:05:05.21"
"SN2003jc","2003/10/24","16.9","23:04:53.34","-06:32:12.1,-06:32:12.08"
"SN2003lc","2003/12/26","16.9","01:23:25.82","+30:47:14.9,+30:47:14.89"
"SN2003ld","2003/12/28","16.9","00:15:51.85,00:15:51.8","+16:05:21.6,+16:05:21.48,+16:05:21.59"
"SN2004bh","2004/04/09","16.9","09:40:56.47","+27:46:46.6,+27:46:46.60"
"SN2006du","2006/07/18","16.9","00:05:12.26","-11:29:23.6,-11:29:23.60"
"SN2007bw","2007/04/18","16.9","17:11:01.99","+24:30:36.4,+24:30:36.40"
"SN2007fc","2007/07/08","16.9","23:57:33.89","-21:59:53.0,-21:59:53.02"
"SN2007sp","2007/11/14","16.9","12:04:42.29","+49:11:09.3,+49:11:09.31"
"SN2008aj","2008/02/13","16.9","13:33:06.33","+33:08:59.0,+33:08:58.99"
"SN2008fb","2008/08/24","16.9","03:42:36.69","+71:18:36.5,+71:18:36.50"
"SN2008ii","2008/12/19","16.9","13:02:08.93","-32:47:36.5,-32:47:36.49"
"SN2008O","2008/01/22","16.9","06:57:34.46","-45:48:44.3,-45:48:44.32"
"SN2009ap","2009/03/05","16.9","17:26:43.23","-59:55:57.9,-59:55:57.90"
"SN2009dn","2009/04/12","16.9","11:37:39.33","+46:57:11.3,+46:57:11.30"
"SN2009hg","2009/07/09","16.9","12:54:42.61","-39:51:16.3,-39:51:16.31"
"SNF20080612-003","2008/06/12","16.9","16:15:28.39","+19:13:35.9"
"LSQ12bjm","2012/03/21","16.9","14:07:53.88","-12:46:16.7"
"LSQ12cer","2012/04/24","16.9","13:17:08.45","-20:24:41.8"
"LSQ12fls","2012/10/16","16.9","02:21:33.79","+02:38:34.8"
"PSN J10054887-0116544","2013/01/16","16.9","10:05:48.87","-01:16:54.4"
"PSN J11115450+4532149","2013/03/07","16.9","11:11:54.50","+45:32:14.9"
"PTF11bnf","2011/03/15","16.9","16:04:44.82","+49:27:28.2"
"ROTSE3 J133033.0-313427","2010/03/07","16.9","13:30:33.03","-31:34:26.8"
"SN2010hl","2010/09/02","16.9","17:16:33.34","+57:52:08.3,+57:52:08.29"
"SN2010hp","2010/07/21","16.9","00:18:50.01","-10:21:40.6,-10:21:40.61"
"SN2010kw","2010/12/17","16.9","06:56:19.88","-54:03:47.1,-54:03:47.09"
"SN2011ak","2011/02/09","16.9","12:00:49.46","+31:52:49.7,+31:52:49.69"
"SN2011dl","2011/06/17","16.9","16:18:04.97,16:18:04.96","+21:33:04.0,+21:33:04.00"
"SN2011fo","2011/09/01","16.9","20:30:15.88","-34:48:32.5,-34:48:32.51"
"SN2011gn","2011/09/30","16.9","07:06:28.29","+77:52:31.8,+77:52:31.80,+77:52:31.7"
"SN2011gz","2011/10/03","16.9","00:37:46.27","-33:39:51.4,-33:39:51.41"
"SN2011hh","2011/10/26","16.9","02:57:04.61","+49:47:43.3,+49:47:43.30"
"SN2011hy","2011/11/16","16.9","04:45:05.16,04:45:05.26","+72:47:01.9,+72:47:02.62,+72:47:02.5"
"SN2012aj","2012/02/21","16.9","16:27:03.96","+51:36:49.8,+51:36:49.79"
"SN2012dd","2012/06/05","16.9","10:57:16.46","+28:32:21.7,+28:32:21.70"
"SN2012fb","2012/09/17","16.9","01:50:51.20,01:50:51.2","+33:08:25.4,+33:08:25.40"
"SN2012fv","2012/06/20","16.9","19:06:51.65,19:06:51.58,19:06:51.57","-61:42:16.3,-61:42:17.6,-61:42:17.89"
"SN2012gj","2012/11/12","16.9","19:07:00.73","+29:00:16.6,+29:00:16.60"
"SN2013at","2013/03/19","16.9","18:50:11.29","+30:20:59.5,+30:20:59.50"
"SN2013ea","2013/07/09","16.9","01:20:16.45","+30:10:55.7,+30:10:55.70"
"SNhunt123","2012/04/29","16.9","05:57:39.17,05:57:39.168","-51:58:20.1,-51:58:20.28"
"SNhunt154","2012/10/13","16.9","09:46:45.17,09:46:45.12","+13:46:51.1,+13:46:50.88"
"SNhunt191","2013/04/30","16.9","08:07:53.90,08:07:54","+17:48:53.0,+17:48:52.92"
"SNhunt63","2011/06/03","16.9","10:07:01.83,10:07:01.92","-43:03:31.3,-43:03:31.32"
"CSS130502:114010+300146","2013/05/02","16.91","11:40:10.06,11:40:10.08","+30:01:45.7,+30:01:45.84"
"SN2010cj","2010/04/12","16.92","08:47:57.98,08:47:58.08","+51:08:41.2,+51:08:41.21,+51:08:41.28"
"CSS130429:105929+123720","2013/04/29","16.92","10:59:28.51,10:59:28.56","+12:37:19.6,+12:37:19.56"
"CSS130905:012822-075122","2013/09/05","16.94","01:28:21.91,01:28:21.90,01:28:21.912","-07:51:22.0,-07:51:22.5,-07:51:22.032"
"PS1-13elm","2013/12/09","16.94","03:47:47.16","-08:46:50.3"
"SSS111127:215934-263955","2011/11/27","16.94","21:59:34.22,21:59:34.32","-26:39:54.5,-26:39:54.72"
"SN2003D","2003/01/06","16.95","09:38:53.52,09:38:53.528","-04:51:05.1,-04:51:05.11,-04:51:05.19"
"SN2007kg","2007/09/22","16.95","23:58:37.43,23:58:37.493","+60:59:06.7,+60:59:07.41,+60:59:06.68"
"SN2012G","2012/01/14","16.95","12:39:35.10,12:39:35.1,12:39:35.04","+16:35:11.9,+16:35:11.90,+16:35:12.12"
"PS1-13dfy","2013/09/16","16.96","18:42:41.32","+19:25:32.3"
"CSS130608:164208+320607","2013/06/08","16.97","16:42:08.02,16:42:07.92","+32:06:07.4,+32:06:07.56"
"MASTER OT J093953.18+165516.4","2013/02/07","16.97","09:39:53.18,09:39:53.04","+16:55:16.4,+16:55:16.32"
"SN2009bz","2009/03/29","16.98","15:19:26.04","+11:03:30.1,+11:03:30.10"
"CSS101019:175123+372421","2010/10/19","16.98","17:51:23.28","+37:24:21.24"
"CSS130609:112625-015221","2013/06/09","16.98","11:26:25.10,11:26:25.2","-01:52:20.9,-01:52:20.964"
"SN2006tf","2006/12/12","16.99","12:46:15.81,12:46:15.82,12:46:15.84","+11:25:55.4,+11:25:56.3,+11:25:56.32,+11:25:55.56"
"CSS121008:014245+213928","2012/10/08","16.99","01:42:44.76","+21:39:28.4,+21:39:28.44"
"SN2012gz","2012/11/20","16.99","02:50:17.61,02:50:17.616","+32:24:39.9,+32:24:39.89,+32:24:39.96"
"CSS110604:155919-074418","2011/06/04","16.99","15:59:19.32,15:59:19.44","-07:44:18.0,-07:44:17.952"
"SNhunt144","2012/08/06","16.99","21:12:08.91,21:12:08.88","-47:03:14.0,-47:03:13.32,-47:03:14.04"
"SN2004gc","2004/11/18","17","05:21:49.94,05:21:49.95","+06:40:33.71,+06:40:33.7"
"SN2003E","2003/01/05","17","04:39:10.88,04:39:10.872,04:39:10.888","-24:10:36.5,-24:10:36.48,-24:10:36.52,-24:10:36.59"
"SN2006jd","2006/10/12","17","08:02:07.43","+00:48:31.5,+00:48:31.50"
"SN2003kc","2003/11/21","17","09:46:34.32","+30:39:19.0,+30:39:19.01"
"PS1-13dku","2013/10/03","17","00:08:16.12,00:08:16.114","-03:36:18.1,-03:36:18.18"
"SN2011kc","2011/12/28","17","10:35:51.00,10:35:50.88","+41:09:59.4,+41:09:59.40"
"SN2005dw","2005/08/30","17","22:13:31.83","-27:33:19.6,-27:33:19.58"
"SN2012bx","2012/04/11","17","11:44:29.41,11:44:29.52","+07:03:46.3,+07:03:46.30,+07:03:46.332"
"SN2003bp","2003/03/06","17","08:27:27.81,08:27:27.828","+17:17:14.5,+17:17:14.50,+17:17:14.59"
"SN2003ah","2003/02/08","17","04:43:08.54,04:43:08.548","+00:46:00.4,+00:46:00.41,+00:46:00.49"
"SN2003bk","2003/02/28","17","12:22:42.14,12:22:42.148","+09:20:01.2,+09:20:01.21,+09:20:01.29"
"SN2003C","2003/01/06","17","00:41:20.91,00:41:20.918","-01:42:54.1,-01:42:54.11,-01:42:54.19"
"SN2003gm","2003/07/06","17","13:52:51.72,13:52:51.728","-01:06:39.2,-01:06:39.20,-01:06:39.29"
"SN2004ad","2004/03/01","17","02:02:26.39","+32:04:22.2,+32:04:22.19"
"SN2004bc","2004/04/01","17","10:59:31.30,10:59:31.41","+75:11:28.7,+75:11:28.9,+75:11:28.90"
"SN2004bo","2004/04/30","17","13:26:06.39","-19:46:32.6,-19:46:32.59"
"SN2004bs","2004/05/16","17","10:39:39.30","+25:19:19.9,+25:19:19.88"
"SN2004eb","2004/08/29","17","17:28:24.30,17:28:24.24","+57:32:45.7,+57:32:45.6,+57:32:45.71"
"SN2004ed","2004/09/02","17","19:10:53.62","+73:24:27.6,+73:24:27.61"
"SN2004fy","2004/11/10","17","11:41:14.96","+89:05:10.6,+89:05:10.61"
"SN2005en","2005/09/27","17","07:59:12.61,07:59:12.72,07:59:12.64","+32:55:00.5,+32:54:59.76,+32:55:00.52,+32:54:59.4"
"SN2006es","2006/09/01","17","03:42:24.48","+39:14:31.0,+39:14:30.98"
"SN2006G","2006/01/13","17","01:24:35.83","+01:43:15.8,+01:43:15.82"
"SN2006gs","2006/09/22","17","11:56:08.50","+55:23:29.8,+55:23:29.80"
"SN2007bn","2007/04/18","17","22:55:52.81","-63:41:31.6,-63:41:31.60"
"SN2007ch","2007/05/11","17","15:49:47.82","-29:23:13.7,-29:23:13.70"
"SN2008ak","2008/02/12","17","03:09:25.20","+80:07:48.4,+80:07:48.40"
"SN2008co","2008/05/26","17","09:55:08.97","-33:08:05.7,-33:08:05.71"
"SN2008dp","2008/06/25","17","11:49:48.86","-38:47:02.1,-38:47:02.11"
"SN2008ew","2008/08/10","17","16:58:28.92","+20:02:38.0,+20:02:38.00"
"SN2008gm","2008/10/22","17","23:14:12.39","-02:46:52.4,-02:46:52.39"
"SN2008hw","2008/10/07","17","22:39:50.39,22:39:50.58,22:39:51.12","-40:08:49.1,-40:08:49.09,-40:08:48.3,-40:08:45.6"
"SN2009B","2009/01/02","17","08:30:51.47","+74:41:08.1,+74:41:08.09"
"SN2009fs","2009/06/01","17","18:19:11.93","+42:48:21.8,+42:48:21.82"
"SN2009hk","2009/07/11","17","20:38:37.42","-25:06:56.0,-25:06:56.02"
"SN2009jz","2009/10/18","17","05:40:05.30","-55:32:03.9,-55:32:03.91"
"SN2009ka","2009/10/18","17","21:17:35.78","+26:01:12.0,+26:01:12.00"
"SN2009lr","2009/11/23","17","23:14:14.43","-02:45:11.9,-02:45:11.92"
"SN2009M","2009/01/20","17","02:39:36.48","+10:50:27.9,+10:50:27.89"
"SN2009nk","2009/12/29","17","14:10:58.72,14:10:58.77","+06:21:47.9,+06:21:47.81"
"SN2010E","2009/12/23","17","02:02:32.48","-79:40:52.5,-79:40:52.50"
"PSN J07250042+2347030","2012/10/16","17","07:25:00.42","+23:47:03.0"
"PSN J09271379-1931599","2013/03/09","17","09:27:13.78,09:27:13.79","-19:31:59.9"
"PSN J12541585+0926259","2013/02/04","17","12:54:15.74,12:54:15.85","+09:26:25.4,+09:26:25.9"
"PSN J23362992+2108482","2013/06/11","17","23:36:29.92","+21:08:48.2"
"PTF11kju","2011/08/16","17","02:55:11.98","-00:11:01.6"
"PTF12alp","2012/02/04","17","13:07:39.48","+06:20:08.9"
"SN2010ax","2010/03/15","17","14:41:53.42","+10:45:01.4,+10:45:01.40"
"SN2010ec","2010/06/05","17","01:41:55.93","-13:05:01.6,-13:05:01.61"
"SN2010gj","2010/07/10","17","21:50:54.34","-17:46:09.4,-17:46:09.41"
"SN2010kc","2010/11/15","17","23:20:22.33","+27:18:57.8,+27:18:57.82"
"SN2010kh","2010/11/18","17","20:59:46.73","-01:53:43.9,-01:53:43.91"
"SN2010lm","2010/12/20","17","10:03:57.35","-27:38:30.3,-27:38:30.30"
"SN2010lt","2010/12/31","17","06:06:09.18","+83:50:28.8,+83:50:28.79"
"SN2011ec","2011/05/14","17","22:41:37.57,22:41:37.50","-57:36:08.8,-57:36:08.78,-57:36:08.0"
"SN2011ie","2011/11/17","17","23:00:54.71,23:00:54.70","+18:50:32.3,+18:50:32.32,+18:50:32.2"
"SN2011il","2011/11/20","17","07:35:08.62","+19:11:26.1,+19:11:26.09"
"SN2011L","2011/01/14","17","23:40:11.52","+27:25:42.2,+27:25:42.20"
"SN2012eo","2012/08/27","17","22:14:37.82","+32:57:18.7,+32:57:18.68"
"SN2012M","2012/01/20","17","14:56:59.85","+24:35:59.5,+24:35:59.50"
"SN2012Q","2012/01/14","17","06:46:26.64","-36:53:13.4,-36:53:13.42"
"SN2013fx","2013/10/21","17","23:03:21.77","-69:11:18.5,-69:11:18.49"
"SN2013hf","2013/12/07","17","06:25:10.07,06:25:10.06","-37:20:41.3,-37:20:41.32"
"SNhunt152","2012/10/09","17","01:52:29.70,01:52:29.74,01:52:29.736","-18:46:38.5,-18:46:38.64"
"SNhunt190","2013/04/25","17","10:10:04.70,10:10:04.72,10:10:04.8","-11:46:35.4,-11:46:35.2"
"SNhunt35","2011/01/27","17","17:27:30.10,17:27:30","+26:28:40.2,+26:28:40.08"
"SSS120826:193017-495348","2012/08/26","17","19:30:17.00","-49:53:48.00"
"SN2010bn","2010/04/05","17","11:44:55.72,11:44:55.68","-05:04:44.2,-05:04:44.18,-05:04:44.184"
"SN2008af","2008/02/09","17.01","14:59:28.50,14:59:28.32","+16:39:12.3,+16:39:11.52,+16:39:12.31"
"LSQ13cmt","2013/10/03","17.01","01:02:41.95,01:02:41.928","-21:52:23.4,-21:52:23.88"
"SN2005gj","2005/09/26","17.02","03:01:11.96,03:01:12.0,03:01:11.952,03:01:11.928","-00:33:13.9,-00:33:14,-00:33:13.932,-00:33:13.914,-00:33:14.1696,-00:33:13.90"
"SN2008ha","2008/11/07","17.02","23:34:52.69,23:34:52.8","+18:13:35.4,+18:13:35.76,+18:13:35.40"
"SN2006eu","2006/09/03","17.02","20:02:51.15","+49:19:02.3,+49:19:02.32"
"SN2008bm","2008/03/29","17.02","13:02:58.75,13:02:58.78,13:02:58.8","+10:30:27.0,+10:30:27.00,+10:30:27"
"SN2013bs","2013/04/18","17.02","17:17:22.03,17:17:22.05,17:17:22.08","+41:04:00.2,+41:04:00.19,+41:04:00.12"
"SN2010io","2010/09/30","17.03","08:43:21.41,08:43:21.448","+45:44:18.0,+45:44:17.99,+45:44:18.08"
"SN2010dm","2010/05/28","17.03","12:11:33.36,12:11:33.322,12:11:33.31,12:11:33.319,12:11:33.320","+47:16:28.56,+47:16:29.36,+47:16:29.1,+47:16:29.10,+47:16:29.33,+47:16:28.92"
