"Name","Disc. Date","mmax","R.A.","Dec."
"SN2012dj","2012/07/01","13.9","23:14:47.98,23:14:48","-43:36:22.3,-43:36:22.28,-43:36:23.04"
"SN2010hg","2010/09/01","13.9","09:46:13.7,09:46:13.70","-30:27:13,-30:27:13.3,-30:27:13.28"
"SN2005ke","2005/11/13","13.92","03:35:04.35,03:35:04.344,03:35:4.34","-24:56:38.8,-24:56:38.76,-24:56:38.80"
"SN2004bv","2004/05/24","13.95","20:25:06.34,19:25:06.34","-24:48:53.7,-24:48:53.71"
"SN2005at","2005/03/05","14","19:09:53.57,19:09:53.62","-63:49:22.8,-63:49:22.80,-63:49:24.1"
"SN2006my","2006/11/08","14","12:43:40.74","+16:23:14.1,+16:23:14.10"
"SN2003hn","2003/08/25","14.01","03:44:36.1,03:44:36.096,03:44:36.27,03:44:36.10","-44:37:49,-44:37:49.08,-44:37:50.1,-44:37:49.01,-44:37:49.0"
"SN2003bg","2003/02/25","14.06","04:10:59.42,04:10:59.424,04:10:59.428","-31:24:50.3,-31:24:50.4,-31:24:50.29,-31:24:50.39"
"PTF10icb","2010/05/30","14.08","12:54:49.768,12:54:49.92,12:54:49.78,12:54:49.2,12:54:49.22","+58:52:56.42,+58:52:56.64,+58:52:56.6,+58:52:55.2,+58:52:54.8"
"SN2006D","2006/01/11","14.09","12:52:34.709,12:52:33.84,12:52:33.94","-09:46:35.80,-09:46:30.684,-09:46:30.79,-09:46:30.8"
"SN2011at","2011/03/10","14.09","09:28:57.56,09:28:57.6","-14:48:20.6,-14:48:20.52,-14:48:20.59,-14:48:20.88"
"SN2006gy","2006/09/18","14.1","03:17:27.06","+41:24:19.5,+41:24:19.51"
"SN2011gv","2011/10/19","14.1","19:54:21.42","-58:42:39.0,-58:42:38.99"
"SN2013df","2013/06/07","14.13","12:26:29.33,12:26:29.28","+31:13:38.3,+31:13:38.32,+31:13:37.92"
"SN2009Y","2009/02/01","14.14","14:42:24.55,14:42:24.563,14:42:23.76,14:42:23.85","-17:14:46.3,-17:14:46.70,-17:14:48.12,-17:14:48.41,-17:14:48.4"
"SN2003kf","2003/11/27","14.14","06:04:35.42","-12:37:42.8,-12:37:42.82"
"SN2013aj","2013/03/03","14.14","13:54:00.68","-07:55:43.8,-07:55:43.79"
"SN2005W","2005/02/01","14.15","01:50:45.75,01:50:45.77","+21:45:35.6,+21:45:35.28,+21:45:35.60,+21:45:35.4"
"SN2005kd","2005/11/12","14.17","04:03:16.88","+71:43:18.9,+71:43:18.91"
"SN2007sa","2007/11/21","14.2","11:03:10.78","+56:13:26.3,+56:13:26.29"
"SN2008fw","2008/09/19","14.2","10:28:55.97","-44:39:55.6,-44:39:55.58"
"SN2009ev","2009/05/27","14.2","13:14:17.58","-42:58:48.8,-42:58:48.79"
"Transient in NGC 300","2008/05/14","14.2","00:54:34.16","-37:38:28.6"
"SN2013gh","2013/08/08","14.23","22:02:21.84,22:02:21.85","-18:55:00.4,-18:55:00.41,-18:55:00.8"
