"Name","Disc. Date","R.A.","Dec."
"SN2004hi","2004/11/20","02:08:38.82,02:08:38.84,02:08:38.835","-05:08:11.7,-05:08:11.79,-05:08:11.69,-05:08:11.825"
"ESSENCE n258","2005/11/22","02:06:42.35,02:06:42.346","-04:22:37.0,-04:22:37.01,-04:22:36.982"
"ESSENCE q022","2006/09/14","01:12:03.875","-00:01:29.045"
"SN2006to","2006/12/17","02:07:34.386,02:07:34.39,02:07:34.387","-04:00:04.22,-04:00:04.2,-04:00:04.21,-04:00:04.177"
"SN2007tm","2007/10/10","02:06:04.73,02:06:04.74,02:06:04.735,02:06:04.748","-03:32:29.3,-03:32:29.29,-03:32:29.33,-03:32:29.261"
"SN2007ty","2007/11/05","02:28:34.38,02:28:34.378,02:28:34.381","-08:23:49.5,-08:23:49.49,-08:23:49.53,-08:23:49.491"
"ESSENCE g230","2003/12/23","01:11:56.31,01:11:56.314","+00:07:27.7,+00:07:27.71,+00:07:27.441"
"SN2003jl","2003/10/22","02:28:28.56,02:28:28.568","-08:08:44.7,-08:08:44.74,-08:08:44.70,-08:08:44.79,-08:08:44.932"
"SN2003ln","2003/12/15","23:30:27.15,23:30:27.158,23:30:27.131","-08:35:47.0,-08:35:46.98,-08:35:47.00,-08:35:47.09,-08:35:46.927"
"SN2004hq","2004/12/09","02:30:18.04,02:30:18.037","-08:22:25.0,-08:22:25.01,-08:22:25.00,-08:22:25.045"
"ESSENCE p454","2005/11/24","02:08:32.45,02:08:32.461","-03:33:34.2,-03:33:34.20,-03:33:34.241"
"SN2006ml","2006/10/21","01:08:43.980,01:08:43.98,01:08:43.977","-00:31:36.62,-00:31:36.6,-00:31:36.59,-00:31:36.593"
"SN2006sf","2006/11/14","02:08:11.654,02:08:11.65,02:08:11.658","-03:51:40.19,-03:51:40.2,-03:51:40.10,-03:51:40.230"
"SN2006si","2006/11/14","02:09:51.327,02:09:51.33,02:09:51.32,02:09:51.320","-03:43:32.48,-03:43:32.5,-03:43:32.41,-03:43:32.520"
"SN2006sn","2006/11/16","02:06:18.250,02:06:18.25,02:06:18.251","-04:51:33.12,-04:51:33.1,-04:51:33.08,-04:51:33.148"
"SN2006tm","2006/12/15","01:09:17.296,01:09:17.30,01:09:17.297","+00:09:11.31,+00:09:11.3,+00:09:11.30,+00:09:11.389"
"SN2007to","2007/10/10","02:29:42.06,02:29:42.060,02:29:42.061","-09:02:05.2,-09:02:05.21,-09:02:05.24,-09:02:05.252"
"ESSENCE g097","2004/10/05","23:27:37.16,23:27:37.164","-09:35:21.0,-09:35:20.96,-09:35:21.041"
"ESSENCE k467","2004/11/16","02:31:11.80,02:31:11.801","-07:47:34.1,-07:47:34.13,-07:47:34.124"
"ESSENCE n404","2004/12/07","02:31:31.43,02:31:31.433","-08:55:11.5,-08:55:11.52,-08:55:11.512"
"SN2002jb","2002/11/09","23:29:44.14,23:29:44.149","-09:36:34.3,-09:36:34.25,-09:36:34.31,-09:36:34.508"
"SN2004fk","2004/10/11","01:13:35.84,01:13:35.842","-00:09:27.6,-00:09:27.56,-00:09:27.61,-00:09:27.500"
"SN2004fs","2004/10/15","02:31:19.95,02:31:19.943","-08:49:21.7,-08:49:21.67,-08:49:21.68,-08:49:21.751"
"SN2004ha","2004/11/06","02:04:27.00,02:04:27.01,02:04:27.005","-04:52:46.0,-04:52:46.03,-04:52:45.98,-04:52:46.192"
